tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_ns_to_ko.7;213.00;-23142338#2_0;5.10;0.00;1.95;392.00;972103805_0;116.86;9.21;179.00;1398.55;1.00;1;0.00;34.11;0;tripinfo_wu_ns_to_ko.7;car;0.87;
wu_as_to_os.5;227.00;23687583_0;5.10;0.00;2.98;394.00;45494495_0;58.90;11.84;167.00;1689.77;0.00;0;0.00;26.71;0;tripinfo_wu_as_to_os.5;car;1.09;
wu_ns_to_ko.8;228.00;-23142338#2_0;5.10;0.00;1.33;394.00;972103805_0;116.86;10.18;166.00;1398.55;1.00;1;0.00;39.49;0;tripinfo_wu_ns_to_ko.8;car;1.00;
wu_as_to_gj.4;328.00;23687583_0;5.10;0.00;0.14;394.00;23527526_0;253.75;10.65;66.00;649.06;0.00;0;0.00;6.88;0;tripinfo_wu_as_to_gj.4;car;1.01;
wu_os_to_as.2;218.00;-45494495_0;5.10;0.00;1.89;395.00;41899283#1_0;148.70;9.82;177.00;1746.47;0.00;0;0.00;15.08;0;tripinfo_wu_os_to_as.2;car;0.98;
wu_ba_to_as.4;255.00;-230845886_0;5.10;0.00;0.91;399.00;41899283#1_0;148.70;10.35;144.00;1430.78;3.00;1;0.00;19.08;0;tripinfo_wu_ba_to_as.4;car;1.04;
wu_od_to_ba.4;170.00;803785575#0_0;5.10;0.00;0.53;401.00;230845886_0;633.12;11.18;231.00;2382.14;3.00;1;0.00;39.08;0;tripinfo_wu_od_to_ba.4;car;1.12;
wu_ba_to_gj.4;211.00;-230845886_0;5.10;0.00;0.24;402.00;23527526_0;253.75;12.83;191.00;1755.68;16.00;3;0.00;57.93;0;tripinfo_wu_ba_to_gj.4;car;1.20;
wu_os_to_br.1;143.00;-45494495_0;5.10;0.00;0.61;408.00;23156390_0;1121.44;9.27;265.00;2513.69;0.00;0;0.00;23.07;0;tripinfo_wu_os_to_br.1;car;0.95;
wu_od_to_as.1;176.00;803785575#0_0;5.10;0.00;4.19;410.00;41899283#1_0;148.70;11.41;234.00;2382.09;2.00;1;0.00;24.20;0;tripinfo_wu_od_to_as.1;car;1.03;
