tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
328.00;972103805_0;116.86;11.59;230.00;5.93;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.6;98.00;wu_as_to_ko.6;0;1102.39;1.15;0.00;11.20;car;;0;0.00
329.00;41899283#1_0;148.70;11.27;174.00;3.95;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.2;155.00;wu_ba_to_as.2;0;1430.78;1.04;0.00;29.82;car;;1;10.00
331.00;230845886_0;633.12;10.66;152.00;0.82;-45494495_0;5.10;0.00;tripinfo_wu_os_to_ba.0;179.00;wu_os_to_ba.0;0;1746.52;0.97;0.00;15.45;car;;0;0.00
332.00;23527526_0;253.75;12.88;169.00;0.62;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.2;163.00;wu_ba_to_gj.2;0;1755.68;1.22;0.00;32.16;car;;1;4.00
335.00;972103805_0;116.86;10.86;107.00;0.17;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_ko.1;228.00;wu_ba_to_ko.1;0;2114.29;1.00;0.00;34.31;car;;1;6.00
342.00;23156305_0;1264.14;9.00;43.00;3.70;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gg.0;299.00;wu_ba_to_gg.0;0;2718.65;0.90;0.00;25.02;car;;0;0.00
344.00;23156305_0;1264.14;10.94;2.00;0.85;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gg.0;342.00;wu_ns_to_gg.0;0;3297.24;1.00;0.00;40.45;car;;0;0.00
350.00;23527526_0;253.75;10.21;266.00;0.72;23687583_0;5.10;0.00;tripinfo_wu_as_to_gj.2;84.00;wu_as_to_gj.2;0;649.06;0.94;0.00;20.36;car;;1;8.00
354.00;45494495_0;58.90;11.57;199.00;0.69;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_os.2;155.00;wu_ba_to_os.2;0;1647.96;1.06;0.00;14.24;car;;0;0.00
357.00;41899283#1_0;148.70;8.46;82.00;0.37;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_as.0;275.00;wu_od_to_as.0;0;2382.09;0.86;0.00;23.57;car;;0;0.00
357.00;23527526_0;253.75;8.39;277.00;1.39;23687583_0;5.10;0.00;tripinfo_wu_as_to_gj.3;80.00;wu_as_to_gj.3;0;649.06;0.85;0.00;9.71;car;;0;0.00
359.00;45494495_0;58.90;10.55;192.00;3.79;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.3;167.00;wu_as_to_os.3;0;1689.77;1.05;0.00;21.11;car;;1;5.00
361.00;23142338#2_0;290.21;10.12;122.00;0.22;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.2;239.00;wu_od_to_ns.2;0;1928.29;1.00;0.00;53.93;car;;1;9.00
361.00;23527526_0;253.75;11.16;183.00;3.01;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.3;178.00;wu_ba_to_gj.3;0;1755.68;1.03;0.00;23.50;car;;1;5.00
